text_a	label
不 抽 会 不 会 影 响 心 脏 ?	B E O B E B E B E O
抽 了 会 出 现 什 么 并 发 症 ?	O O O B E B E B E O O
现 在 病 人 不 发 烧 ，	B E B E O B E O
胸 也 不 是 很 闷 ， 左 胸 水 大 概 有 三 分 之 一 。	O O B E O O O O O O B E O B I I E O
现 在 该 如 何 治 疗 ?	B E O B E B E O
请 专 家 给 个 建 议 ?	O B E O O B E O
无 论 怎 么 睡 ， 还 是 打 呼 噜 ， 特 别 严 重 的 打 呼 噜	B E B E O O O O O B E O B E B E O O B E
上 周 做 了 胃 镜 ， 说 有 个 0 . 5 广 基 息 肉 ， 病 理 显 示 增 生 性 息 肉 ， 除 此 之 外 还 有 浅 表 性 胃 炎	B E O O B E O O O O B I E B E B E O B E B E B E O B E O B E O O B E B E O B E
睡 觉 打 鼾 ， 声 音 很 大 ， 已 经 持 续 多 年 。	B E B E O B E B E O B E B E B E O
期 间 也 去 医 院 查 过 ， 医 生 检 查 后 说 是 天 生 喉 咙 狭 窄 。	B E O O B E B E O B E B E O O O B E B E B E O
就 是 病 情 反 复 的 发 ， 住 了 俩 回 院 了 ， 这 次 发 腿 抖 的 厉 害 。	B E B E B E O O O O O O O O O O O O O B E O B E O
近 十 天 内 又 出 现 肝 脏 庝 痛 . 背 痛 . 低 热 . 全 身 不 舒 服 . 口 苦 . 后 背 酸 沉	O B E O O B E B E B E B I E B I E B I E O B I E B E B I E O O
心 脏 不 好 支 架 半 年 了 ， 颈 动 脉 狭 窄 ， 脑 血 栓 十 来 年 ， 原 来 胃 溃 疡 ， 现 在 做 胃 镜 没 有 了 ， 胃 息 肉 刚 发 现	B E B E B E B E O O O B E B E O O B E O O O O B E O B E O B E O B E B E O O O B E O B E
三 个 月 前 室 上 速 做 的 射 频 消 融 手 术 ， 现 在 老 是 胸 闷 气 短	O O O O B I E O O B E B E B E O B E O O B E B E
锉 碳 酸 镁 咀 片 胃 多 发 息 肉 慢 性 胃 炎 十 二 指 肠 球 炎 慢 性 胃 炎 急 性 发 作	B I I E B E O B E B E B E O O B I I E O O B E B E B E B E
有 多 年 烟 龄 ， 上 呼 吸 道 容 易 感 染 ， 6 5 岁 ！	O B E B E O O B I E B E B E O B E O O
今 年 3 月 胆 囊 炎 在 协 和 医 院 治 疗 输 液 1 0 天 ， B 超 显 示 胆 囊 肿 大 ， 没 有 结 石 ， 输 液 基 本 治 愈 后 又 做 了 核 磁 共 振 结 果 也 挺 好 的 ，	B E O O B E O O B E B E B E B E B E O O O O B E B E B E O B E B E O B E B E B E O O O O B E B E B E O B E O O
医 生 说 3 月 后 复 查 ， 但 是 没 有 去 ， 请 问 胆 囊 炎 容 易 反 复 吗 ？	B E O O O O B E O B E B E O O B E B E O B E B E O O
最 近 一 直 胃 疼 ， 胃 镜 检 查 出 胃 隆 起 性 病 变 。	B E B E B E O B E B E O O B E O B E O
以 前 劳 累 过 度 ， 经 常 饮 食 不 规 律	B E B E B E O B E B E O B E
今 年 3 月 份 发 病 ， 到 目 前 为 止 发 病 4 次 ， 吃 药 就 缓 解	B E O O O B E O O B E B E B E O O O B E O B E
我 早 产 有 轻 度 脑 瘫 ， 左 腿 走 路 脚 尖 点 地 ， 之 前 做 过 手 术 。	O B E O B E B E O B E B E B E O O O B E O O B E O
但 是 我 脑 子 的 表 情 家 长 一 直 躲 躲 闪 闪 ， 我 想 现 在 自 己 去 医 院 做 一 个 c t 可 以 看 出 来 脑 瘫 以 及 脑 瘫 的 具 体 情 况 有 多 严 重 么 么 ？	B E O B E O B E B E B E B E B E O O O B E B E O B E O B E B E B E O O O B E B E B E O B E B E O O B E O O O
上 不 来 气 . . . 打 鼾 严 重 . . 使 劲 呼 吸 才 能 顺 畅 . . . . . 腹 部 胀 气	O O O B I I I I E B E B I I E B E O O B I I I I I I I E B E
需 要 做 上 肚 检 查 吗 ？	B E O O O B E O O
支 气 管 扩 张 并 感 染 ， 支 气 闭 塞 ， 肺 不 张 ， 建 议 定 期 做 支 气 管 纤 維 镜 复 查	O B E B E O B E O O O B E O O B E O B E B E O O B E B E O B E
胃 溃 疡 已 经 很 多 年 了 ， 吃 完 饭 胃 就 不 舒 服 ， 饭 前 饿 的 时 候 胃 也 会 疼 。	O B E B E B E O O O O O O O O O B E O O O O O B E O O O O O
胃 里 有 多 发 息 肉 ， 多 发 肠 息 肉	O O O B E B E O B E O B E
右 侧 胸 膜 局 部 轻 度 增 厚 ， 这 是 什 么 意 思 ？	B E B E B E B E B E O B E B E B E O
需 要 注 意 什 么 ？	B E B E B E O
之 前 本 人 偶 尔 咳 嗽 、 没 在 意 ， 后 面 做 干 活 就 咳 嗽 断 断 续 续 的 。	B E B E B E B I I E B E O B E O B E O B E B E B E O O
做 了 十 几 天 重 体 力 活 。	O O B E O O B E O O
后 过 两 天 发 高 烧 。	O O B E O B E O
吃 了 退 烧 药 后 退 了 以 后 ，	O O B E O B E O B E O
几 个 小 时 后 又 高 烧 。	O O B E O O B E O
后 去 医 院 检 查 有 胸 腔 积 液 。	O O B E B E O B E B E O
查 胃 镜 意 外 发 现 胃 底 小 息 肉 广 基 0 . 5 c m	O B E B E B E O O O B E O O B I E B E
浅 表 性 胃 炎 2 0 年 ， 今 日 胃 镜 发 现 已 经 发 展 了	B E O B E B E O O B E B E B E B E B E O
发 病 时 间 主 要 在 早 上 , 发 作 时 胸 闷 气 短 , 很 难 受 .	B E B E B E O B E O B E O B E B E O O B I E
气 管 镜 没 有 检 查 定 性 ， 胸 水 病 理 没 有 出 来 ， 胸 水 放 出 1 5 0 0 毫 升 了 ， 这 十 余 天 胸 水 产 生 很 少 ，	B E O B E B E B E O O O B E B E O O O O O O O B I I E B E O O O O O O O O B E O O O
是 否 需 要 取 胆 ， 从 去 年 9 月 3 0 日 出 月 子 时 痛 了 一 次 ， 2 0 1 7 - 9 - 1 0 痛 了 一 次 ！	B E B E O O O O B E O O B E O O B E O O O B E O B I I I I I I I E O O B E O
打 呼 噜 严 重	O B E B E
有 胸 闷 ， 呼 吸 急 促 等 情 况 ， 来 医 院 治 疗 ， 发 现 下 肢 深 静 动 脉 血 栓 脱 落 ， 引 起 的 肺 栓 塞 ， 彩 超 及 c t . 检 查 确 诊 ， 现 在 是 低 风 险 ，	O B E O B E B E O B E O O B E B E O B E B E O O B E B E B E O B E O O B E O B E O B E B I E B E O B E O O B E O
是 否 需 要 采 取 溶 栓	B E B E B E B E
胸 闷 昏 厥 多 次 ， 没 入 院 前 不 排 尿 心 脏 也 波 动 非 常 大	B E B E B E O O B E O O B E B E O B E B E O
半 月 前 涮 菜 吐 了 ， 胃 口 就 老 有 点 不 舒 服 。	B E O B E O O O B E O O B E O B E O
1 0 月 3 0 日 ， 早 上 3 点 多 胸 骨 凹 处 疼 醒 了 。	B E O B E O O B E O O O B E O O O O O O
早 上 7 点 多 吐 了 黄 色 液 体 。	B E O O O O O B E B E O
随 即 去 医 院 做 的 胃 镜 。	B E O B E O O B E O
没 取 病 理	O O B E
胃 痛 ， 胃 部 长 有 息 肉	O O O O O O O B E
摔 伤 术 后 胸 腔 少 量 积 液	B E B E B E B E B E
没 有 家 族 史	B E B E O
男 , 4 7 岁 。	O O B E O O
就 这 几 个 月 感 觉 身 体 有 点 不 舒 服 ， 这 几 天 比 之 前 还 严 重 点 ， 呼 吸 有 点 不 通 畅 ！	O O B E O B E B E B E O B E O O B E O B E O B E O O B E B E O B E O
我 闺 女 这 么 小 ， 还 没 学 会 叫 爸 爸 妈 妈 ， 我 也 不 知 道 怎 么 得 了 这 个 病 。	O B E O O O O O O B E O B E B E O O O O B E B E O O O O O O
家 族 里 也 没 有 ， 请 医 生 帮 帮 我 ， 我 孩 子 目 前 没 有 什 么 症 状 ，	B E O O B E O O B E O O O O O B E B E B E B E B E O
但 住 院 医 生 说 有 猝 死 可 能 ， 我 想 做 手 术 彻 底 治 愈 ， 求 医 生 帮 帮 我 ！	O B E B E O O B E B E O O O O B E B E B E O O B E O O O O
万 分 感 谢 ！	B E B E O
！	O
！	O
医 生 ， 您 好 ， 请 问 下 肠 息 肉 需 要 及 时 切 除 么 ， 如 果 通 过 电 凝 手 术 切 除 后 ， 会 不 会 存 在 复 发 后 长 得 更 快 的 情 况	B E O B E O B E O O B E B E B E B E O O B E B E B E B E B E O O O B E B E B E O O O O O O B E
腹 痛 不 止	B E B E
胃 疼 ， 早 上 4 . 5 点 钟 发 作 ， 胸 口 针 扎 样 疼 痛	O O O B E B I E O O B E O B E O O O B E
胃 胀 ， 隐 痛 ， 嗳 气 ， 排 气 多 ， 口 苦	O O O O O O B E O B E O O O O
刚 来 完 月 经 做 的 胃 息 肉 手 术 ， 手 术 当 天 又 来 月 经 了 ， 术 后 第 三 天 拉 肚 子 ， 吐 苦 水 。	O O O B E O O O B E B E O B E B E O O B E O O B E O B E O B E O O O O O
吃 了 豆 粉 ， 奶 粉 ， 粥	O O B E O B E O O
今 年 4 月 肠 镜 检 查 未 见 异 常 ， 今 年 1 0 月 突 感 排 便 不 适 ， 肠 镜 检 查 结 肠 直 肠 有 息 肉 。	B E O O B E B E O O B E O B E B E O O O B E O O O B E B E B E B E O B E O
没 有 家 族 史 ， 现 在 胃 出 血 ，	B E B E O O B E O B E O
男 ， 2 1 岁 。	O O B E O O
5 . 2 1 日 晚 上 开 始 发 高 烧 ， 3 9 . 3 ， 无 咽 痛 ， 之 前 口 腔 溃 疡 有 2 个 ， 发 烧 后 出 现 多 个 口 腔 溃 疡 ， 乏 力 ，	B I I E O B E B E O B E O B I I E O O B E O B E B E B E O O O O B E O B E O O B E B E O B E O
同 时 双 小 腿 出 现 硬 币 大 小 红 斑 ， 肿 有 压 痛 ， 前 胸 后 背 有 点 状 红 疹 ， 抗 o 7 6 0 , 2 6 日 挂 青 霉 素 ， 抗 结 核 杆 菌 抗 体 （ 金 标 法 ） 弱 阳 性 ，	B E O B E B E B E B E B E O O O B E O O O B E O B E B E O O O B I E O B E O O B I E O O B E B E B I I I I I I E B E O
结 核 T s p o t 阴 性 ， 肺 部 C T 左 肺 上 叶 右 肺 中 下 叶 有 斑 点 状 高 密 度 影 ， 边 界 模 糊 。	B E B I I I E B E O B E B E O O B E O O O B E O B E O O B E O O B E B E O
6 月 1 、 1 0 、 2 3 共 查 肺 部 C T 三 次 都 没 什 么 改 变 ，	O O B I I I I I E O O B E B E B E O O B E B E O
胸 片 有 结 核 点 状 。	B E O B E B E O
全 套 自 身 抗 体 一 个 多 有 中 共 检 查 三 次 都 正 常 ， 查 的 很 全 。	B E B E B E O O O O B E B E B E O B E O O O O O O
几 天 后 红 斑 消 退 ， 但 隔 几 天 会 再 出 现 口 腔 溃 疡 和 一 个 红 斑 ，	O O O B E B E O O O O O O O B E B E B E O O O B E O
有 压 痛 ， 6 . 4 晚 阴 囊 红 肿 不 疼 无 溃 疡 ， 以 前 疼 痛 过 两 次 ， 无 肿 大 。	O O O O B I E O B E B E O O O B E O B E B E O O O O O B E O
针 刺 反 应 阳 性 。	B E B E B E O
6 月 8 日 起 挂 激 素 甲 泼 尼 3 0 m g ,	O O O O O O B E B I E B E B E O
挂 四 天 , 6 月 1 2 日 吃 泼 尼 松 每 天 1 5 m g . 6 月 1 9 日 又 复 查 自 身 免 疫 抗 体 全 套 ， 病 毒 ， 结 核 T s p o t 等 ， 除 抗 “ O ” 7 2 1 外 ，	O B E O O O B E O O B I E B E B E B E B E O B E O O B E B E B E B E B E O B E O B E B I I I E O O O O O O O B I E O O
其 余 都 正 常 。	B E O B E O
确 诊 为 白 塞 病 。	B E O B E O O
开 始 用 激 素 和 免 疫 抑 制 剂 治 疗 。	B E O B E O B E B E O B E O
7 月 2 0 日 查 胃 肠 镜 ， 胶 囊 胃 镜 ， 回 肠 浅 糜 烂 ， 结 肠 息 肉 0 . 8 * 1 c m ，	O O B E O O B E O O B E B E O B E O B E O B E B E B I I I E B E O
目 前 用 药 ， 沙 利 度 胺 每 天 2 片 ， 甲 氨 蝶 呤 每 周 4 片 ， 泼 尼 松 每 天 1 片 。	B E O O O B I I E B E O O O B I I E B E O O O B I E B E O O O
想 请 问 一 下 ： 1 、 结 肠 息 肉 可 以 摘 除 吗 ?	O B E B I I I I I E B E B E B E O O
用 什 么 方 法 摘 除 ,	O B E B E B E O
有 风 险 吗 ?	O B E O O
会 不 会 引 起 肠 白 塞 。	O B E B E O O O O
哪 一 级 医 院 可 以 做 这 个 手 术 . 2 、 抽 血 显 示 他 没 有 乙 肝 抗 体 , 想 问 一 下 ， 现 在 这 样 可 以 打 乙 肝 疫 苗 吗 ？	O B E B E B E O O O B I I I I I E B E O B E B E B E O O O O O O B E B E B E O B E B E O O
上 个 月 体 检 发 有 一 个 9 亳 米 大 小 的 胆 结 石 ， 目 前 没 任 何 临 床 症 状 。	O O O B E O O O O O B E B E O O B E O B E O B E B E B E O
我 到 底 该 怎 么 办 ， 我 的 宝 贝 到 底 是 正 常 的 还 是 不 正 常 的	O B E O B E O O O O B E B E O B E O B E O B E O
男 , 3 4 岁 。	O O B E O O
走 路 会 跌 倒 ， 上 步 梯 费 劲 ， 需 要 手 扶 扶 手 ， 蹲 下 去 需 手 扶 漆 盖 才 能 起 来 。	B E O B E O O B E B E O B E O O B E O O O O O B E B E O O O O O
病 人 两 年 前 吃 了 一 种 药 ， 突 然 肚 子 胀 大 ， 后 来 就 没 事 了 ， 之 后 一 直 胃 疼 ， 最 近 两 个 月 才 痛 的 历 害 ！	B E B E O O O O O O O B E B E O O O B E O B E O O B E B E O O O B E O O O O O O B E O
现 在 吃 了 药 好 些 了 ，	B E O O O B E O O
有 病 理 出 来 了 ， 麻 烦 看 一 下 到 底 怎 么 回 事	O B E B E O O B E O O O B E B E B E
大 便 不 成 形 好 长 一 段 时 间 了 ， 目 前 就 放 屁 特 别 多 ， 还 臭 ， 需 要 如 何 处 理 治 疗	B E O B E O O B E B E O O B E O B E B E O O B E O B E B E B E B E
诱 发 病 因 有 可 能 是 喝 酒 引 起 ， 最 近 胃 痛 频 繁 ，	B E B E O B E O B E B E O B E O O B E O
肚 子 有 点 腹 胀 ， 吃 点 东 西 感 觉 饱 了 ， 还 硬 硬 的 ！	B E B E B E O O O B E B E O O O B I I E O
2 0 1 0 年 查 有 胆 结 石 ， 2 0 1 3 年 查 有 胆 囊 炎 ， 一 直 没 什 么 症 状 也 就 没 在 意 ， 吃 东 西 也 没 忌 口 。	B I I E O O O O B E O B I I E O O O B E O O B E O B E B E O O O B E O O B E O O B E O
从 今 年 开 始 陆 陆 续 续 开 始 不 舒 服 ，	O B E B E B E B E B E O B E O
前 段 时 间 疼 过 两 次 ， 都 是 晚 上 ， 特 别 疼 那 种 ， 这 段 时 间 一 直 有 点 不 舒 服 ， 然 后 买 了 金 胆 片 吃 。	B E B E O O B E O O O B E O B E O B E O O O B E B E B E O B E O B E O O B I E O O
现 在 怀 孕 ， 胆 结 石 总 是 疼 ， 医 生 给 输 头 孢 消 炎 ， 1 7 号 疼 一 次 ， 2 5 号 又 疼 一 次 ， 都 是 输 水 ， 这 样 对 宝 宝 有 影 响 吗 ？	B E B E O O B E B E O O B E O O B E B E O B E O O O O O B E O O O B E O B E O O O B E O B E O B E O O
后 续 需 要 注 意 什 么	B E B E B E B E
我 母 亲 病 情 是 肺 动 脉 过 高 、 其 它 病 情 不 好 清 楚 、 请 医 生 帮 帮 忙	O B E B E O O B E B I I I E B E O O B I I E B E O B E
身 体 有 时 突 然 刺 痛 ， 位 置 不 固 定 ， 手 脚 、 四 肢 均 出 现 过 ， 持 续 几 秒 就 好 了 。	B E B E B E B E O B E O B E O B I I I E O B E O O B E O O O O O O
其 中 双 手 刺 痛 感 严 重 、 有 时 会 持 续 几 十 秒 才 好 。	B E B E B E O B I I I E O B E O O O O O O
做 过 肌 电 图 ，	B E B I E O
提 示 感 觉 神 经 传 导 速 度 减 慢 。	B E B E B E B E B E B E O
6 月 份 在 家 里 医 院 做 的 肌 电 图 是 正 常 的	O O O O B E B E O O B I E O B E O
恶 心 ， 吃 一 点 东 西 就 饱 了	B E O O B E B E O O O
两 三 天 大 便 一 次 ， 大 便 颗 粒 ， 便 上 面 还 带 血 ， 肚 子 有 时 候 痛 。	O O O B E B E O B E B E O O B E O O O O B E O O O O O
您 好 吕 医 生 ， 我 病 情 怎 么 样	B E O B E O O B E B E O
体 检 时 C 1 4 试 验 ， 幽 门 螺 杆 菌 阳 性 ， 值 2 3 0 。	B E O B I E B E O B E B E O B E O O B I E O
胃 没 有 不 舒 服 ！	O B E O B E O
需 要 根 除 吗 ？	B E B E O O
需 要 跟 家 人 分 餐 具 吗 ？	B E O B E O B E O O
家 人 都 没 有 查 过 是 否 感 染 ！	B E O B E O O B E B E O
胆 结 石 ， 最 近 两 周 之 内 痛 两 回 了 ， 痛 完 就 发 烧	O B E O B E B E B E O O O O O O O O B E
从 去 年 反 复 高 烧 寒 战 ， 有 膀 胱 炎 ， 每 次 检 查 血 液 都 有 炎 症 ， 血 象 高 ， 最 近 查 出 有 肝 内 胆 结 石	O B E B E B E B E O O B E O O B E B E B E O O B E O B E O O B E O O O O O O B E
2 0 1 6 年 8 月 心 交 痛 住 院 治 疗 ， 发 现 房 颤 ， 治 疗 1 0 天 好 转 出 院 ， 1 1 月 平 躺 不 舒 服 ， 呼 吸 困 难 等 症 状 住 院 治 疗 ，	B I I E O O O O O O B E B E O B E B E O B E B E O B E B E O B E O B E O B E O B E B E O B E B E B E O
1 4 天 好 转 出 院 ， 2 0 1 6 1 2 月 2 5 日 ， 突 发 脑 梗 塞 ， 颞 叶 部 ， 左 侧 肢 体 活 动 受 限 ， 下 肢 3 级 ， 上 肢 2 级 ， 经 2 2 天 的 治 疗 ，	B E O B E B E O B I I E B E O B E O O B E O B E O B E O O B E B E B E B E O B E O O O B E O O O O B E O O B E O
肢 体 肌 力 恢 复 到 4 级 ， 出 院 后 加 强 锻 炼 ， 现 在 肢 体 肌 力 正 常 。	B E B E B E O O O O B E O B E B E O B E B E B E B E O
最 近 一 个 月 活 动 少 多 点 就 气 短 气 喘 ， 大 口 呼 吸 ， 平 躺 不 舒 服 ，	B E O O O B E O O O O B E B E O B E B E O B E O B E O
住 院 治 疗 1 8 天 ， 症 状 减 轻 ， 可 以 平 躺 睡 觉 ， 和 可 以 少 量 的 活 动 ！	B E B E B E O O B E B E O B E B E B E O O B E B E O B E O
犯 病 时 候 ， 头 晕 ， 心 跳 加 速 ， 短 则 2 0 分 钟 ， 长 则 1 小 时 。	B E B E O B E O B E B E O O O B E B E O O O O B E O
前 两 天 做 了 F S P R 术 ， 我 是 左 腿 肌 张 力 高 ， 脚 尖 不 落 地 ， 1 9 岁 ， 做 了 手 术 后 感 觉 左 腿 特 别 麻 ， 肌 张 力 倒 是 降 下 来 了 ，	O B E O O B I I E O O O O B E O B E O O B E O B E O B E O O O O B E B I E B E B E O O O B E O O O O O O O
很 担 心 肌 力 下 降 会 不 会 影 响 右 腿 ？	O B E B E B E O B E B E B E O
胃 一 直 不 舒 服 ， 平 时 吃 点 胃 药 。	O B E O B E O B E O O B E O
最 近 胃 有 点 疼 ， 且 次 数 多	B E O B E O O O B E O
胃 部 消 化 不 良 ， 胃 口 受 影 响 ， 胃 部 吃 多 了 会 发 涨 ， 甚 至 呕 吐 ， 一 直 都 吃 药 ， 但 没 有 根 治	O O B E B E O B E O B E O O O O O O O B E O B E B E O B E O B E O O B E B E
术 后 一 年 零 2 个 月 ， 平 时 运 动 像 打 乒 乓 球 都 没 感 觉 ， 这 次 学 校 军 训 ， 可 以 参 加 吗	B E B E O O O O O B E B E O O B E O O O B E O B E B E B E O B E B E O
六 七 月 份 时 曾 经 在 锻 炼 （ 爬 楼 梯 ） 后 晕 倒 ， 没 有 用 药 。	O O O O O B E O B E B E B I I E B E O B E B E O
九 月 份 入 学 体 检 一 切 正 常 。	O O O B E B E B E B E O
十 月 三 十 日 上 午 八 点 多 钟 ， 又 突 然 感 觉 想 吐 ，	O O B E O B E O O O O O O B E B E O O O
头 越 来 越 晕 ， 感 觉 四 周 晃 、 发 黑 ， 站 不 住 ， 晕 倒 了 。	O O O O O O B E B E B I E O O O O O O B E O O
很 快 就 起 来 了 ， 没 有 想 吐 的 感 觉 了 ， 但 头 还 是 不 舒 服 （ 和 平 时 不 同 ） 。	B E O O O O O B E O O O B E O O O O O O O B I I E B E B I E O
以 前 难 受 ， 挂 了 水 好 了 ， 检 查 结 果 是 胃 溃 疡 ， 还 要 化 验	B E B E O O O O O O O B E B E O O B E O B E B E
胃 溃 疡 吃 了 一 个 月 西 药 ， 后 又 吃 了 一 个 月 半 中 药 ， 现 在 症 状 没 有 ， 胃 镜 没 有 检 查 。	O B E O O O O O B E O O O O O O O O O B E O B E B E B E O O O B E B E O
这 阶 段 老 是 腹 泻 ， 间 隔 性 的 肚 胀 一 前 几 天 又 做 了 肠 镜 ，	O B E O O B E O B E O O O O O O O O O O O O O O
又 是 溃 疡 ， 该 怎 么 治 疗 ？	O O B E O O B E B E O
医 生 说 什 么 考 虑 住 院 ， 我 没 有 明 白 什 么 意 思 ， 麻 烦 帮 我 看 看 什 么 情 况 ！	B E O B E B E B E O O B E B E B E B E O B E O O O O B E B E O
今 年 3 月 份 经 过 枞 阳 医 院 治 疗 2 个 月 ， 5 月 份 十 二 指 肠 溃 疡 愈 合 ， 好 了 2 个 月 ， 现 在 又 复 发 。	B E O O O B E B E B E B E O O O O O O O B I I E B E B E O O O O O O O B E O B E O
父 亲 胃 不 好 ， 年 轻 时 胃 溃 疡 做 过 手 术 ，	B E O B E O B E O O B E O O B E O
7 2 岁 患 胃 癌 做 过 手 术 ， 现 在 有 5 年 了 。	B E O O B E O O B E O B E O O O O O
我 闺 女 这 么 小 ， 还 没 学 会 叫 爸 爸 妈 妈 ， 我 也 不 知 道 怎 么 得 了 这 个 病 。	O B E O O O O O O O O O B E B E O O O O B E B E O O O O O O
家 族 里 也 没 有 ， 请 医 生 帮 帮 我 ， 我 孩 子 目 前 没 有 什 么 症 状 ，	B E O O B E O O B E O O O O O B E B E B E B E B E O
但 住 院 医 生 说 有 猝 死 可 能 ， 我 想 做 手 术 彻 底 治 愈 ， 求 医 生 帮 帮 我 ！	O B E B E O B I E B E O O O O B E B E B E O O B E O O O O
万 分 感 谢 ！	B E B E O
！	O
！	O
现 在 不 能 吃 太 多 的 饭 吃 多 了 肚 子 右 侧 疼 不 排 气	B E B E O B E O O O O O B E B E O O B E
回 肠 末 端 溃 疡 ， 大 便 稀 烂 不 成 型 ， 身 体 消 瘦 ，	B E B E B E O B E B E O B E O B E B E O
疾 病 ： 胆 囊 炎 ， 胆 结 石 ， 浅 表 性 胃 炎	B E B I E O O O B E O B E O O O
病 情 描 述 ： 疾 病 ： 慢 性 胆 囊 炎 和 胆 结 石 ；	B E B I I I I I I E B E O O O B E O
右 肋 骨 里 面 疼 ， 不 适 。	O B E B E O O B E O
过 敏 史 ： 无 （ 2 0 1 7 - 0 6 - 1 6 填 写 ）	B E B I E B I I I I I I I I I E B I E
用 药 情 况 ： 消 炎 利 胆 片 ， 胆 宁 片 ， 熊 去 氧 胆 酸 胶 囊 ， 左 氧 氟 沙 星 胶 囊 ， , 3 次 / 日	B E B I I I E B E O O B E O O O O O O O B E O O O O O O B E O O O B I E
想 获 得 的 帮 助 ： 请 问 医 生 ， 我 该 怎 么 治 疗 ！	O B E O B I I I E B E O O O B E B E O
用 药 情 况 ： 舒 胆 片 , 3 次 / 日 ；	B E B I I I E O O O B I E O
消 炎 利 胆 片 ， 胆 宁 片 ， 熊 去 氧 胆 酸 胶 囊 ， 左 氧 氟 沙 星 胶 囊 ， , 3 次 / 日	B E O O O O O O O O O O O O O B E O O O O O O B E O O O B I E
一 直 疼 牵 拉 疼 钝 痛 吃 药 也 不 见 好 转 持 续 十 几 天 了	B E O B E O O O B E O O O B E B E O O O O
9 月 1 4 号 第 一 次 疼 痛 ， 1 0 月 1 号 夜 里 第 二 次 发 作 ， 1 0 月 2 0 号 第 三 次 ， 1 0 月 3 0 号 第 四 次 ， 伴 有 呕 吐 症 状	O O B E O B E O B E O B E O O O O O B E O B E O B E O B E O B E O O B E O B E O B E O O O O B E B E
长 期 偶 尔 腹 痛 （ 肚 脐 以 上 ） ， 2 0 1 7 年 1 0 月 2 2 日 下 午 突 发 剧 痛 ， 痛 到 流 汗 。	B E B E B E B I E B I E O B I I E O B E O B E O B E B E B E O O O B E O
胆 囊 结 石 1 2 毫 米 用 不 用 做 手 术 ？	B E B E B E B E O B E O B E O
如 果 不 做 手 术 的 话 ， 要 怎 么 办 ？	B E O O B E O O O O B E O O
不 知 道 怎 么 引 起 的 ， 但 是 害 怕 病 情 继 续 发 展	O B E B E O O O O B E B E B E B E B E
胆 结 石 ， 蚕 豆 大 小 ， 一 个 月 已 经 发 病 3 次 了 ， 第 一 次 是 吃 海 鲜 引 起 的 ， 第 二 次 是 吃 了 黄 油 ， 第 三 次 不 明 原 因 ， 请 问 需 要 手 术 吗 ，	O B E O B E B E O O O O B E B E O O O O B E O O O B E O O O O B E O O O O B E O B E O O O B E O B E B E B E O O
如 果 手 术 是 否 要 摘 除 胆 ， 费 用 大 概 是 多 少 ？	B E B E B E O B E O O B E B E O B E O
请 医 生 看 看 ， 这 种 情 况 可 以 做 冷 冻 射 频 消 融 术 吗 ？	O B E B E O O O B E B E O B E B E B E O O O
智 力 就 像 似 孩 子 ， 生 活 不 能 自 理 ， 说 话 也 不 清 晰 ，	B E O O O B E O B E B E B E O B E O O B E O
突 发 性 ， 住 了 几 天 院 不 再 好 转 ， 现 在 时 痛 时 不 痛 。	B E O O O O O O O B E B E O B E O O O B E O
最 近 一 段 时 间 经 常 胃 胀 痛 ， 都 不 能 吃 饭 ， 吃 一 点 点 就 感 觉 整 个 肚 子 都 痛	B E B E B E B E O O O O O B E B E O O B E O O B E O O B E B E
胆 结 石 ， 1 . 1 厘 米 没 有 任 何 反 应 ， 一 切 正 常	O B E O B I E B E B E B E B E O B E B E
心 肌 酶 什 么 时 候 才 能 彻 底 降 下 来	B E O B E B E O O B E O O O
我 就 想 说 我 这 能 不 能 不 在 发 展 了	O O O O O O O B E O O B E O
试 管 移 植 一 周 ， 严 重 失 眠 ， 可 以 针 灸 治 疗 么 ？	B E B E B E O B E B E O B E B E B E O O
每 晚 睡 不 着 ， 白 天 也 是 ， 很 难 受	B E O O O O B E O O O O B E
在 中 医 针 灸 理 疗 后 。	O B E B E B E O O
针 扎 过 的 地 方 一 碰 就 麻 怎 么 办 ？	O O O O B E O O O O B E O O
严 重 吗 ？	B E O O
正 常 吗 ？	B E O O
已 经 三 天 了 。	B E O O O O
想 针 灸 疏 通 肝 经 ， 神 经 衰 弱	O B E B E B E O B E B E
请 问 一 下 医 生 拔 火 罐 后 多 久 能 吃 牛 黄 解 毒 丸 ，	B E O O B E O B E O O O O O B E B E O O
埋 线 减 肥 后 练 了 会 瑜 伽 ， 手 臂 在 第 四 天 开 始 疼 ， 伸 直 困 难 ， 感 觉 肌 肉 里 有 线 拉 着 ， 会 不 会 是 伤 到 神 经	O O B E O O O O B E O B E O B E O B E O O B E B E O B E B E O O O O O O O B E O O O B E
请 问 大 夫 ， 埋 线 减 肥 和 针 灸 减 肥 哪 个 效 果 好 些 ？	B E B E O O O B E O B E B E O O B E B E O
患 者 女 性 ， 7 2 岁 ， 高 血 压 1 0 余 年 ， 房 颤 2 年 。	B E B E O B E O O O B E B E O O O B E O O O
开 始 发 作 间 隔 一 个 多 月 ， 近 期 发 作 倒 不 是 很 频 繁 ， 但 发 现 寒 冷 和 咳 嗽 会 诱 发 。	B E B E B E O O O O O B E B E O B E O B E O O B E B E O B E O B E O
发 作 时 大 小 便 增 多 、 流 汗 ，	B E O B E O B I I I E O
乏 力 。	B E O
